Total Cholesterol mmol/L,20-39,40-49,50-59,60-69,70-79
<4.1,0,0,0,0,0
4.1-5.1,4,3,2,1,0
5.2-6.1,7,5,3,1,0
6.2-7.2,9,6,4,2,1
≥7.3,11,8,5,3,1
